game,team
Myrtle Beach Bowl,GASO
Cricket Celebration Bowl,FAMU
R+L Carriers New Orleans Bowl,JVST
Avocados From Mexico Cure Bowl,APP
Isleta New Mexico Bowl,NMSU
Starco Brands LA Bowl,UCLA
Radiance Technologies Independence Bowl,TTU
Famous Toastery Bowl,ODU
Scooter's Coffee Frisco Bowl,UTSA
RoofClaim.com Boca Raton Bowl,SYR
Union Home Mortgage Gasparilla Bowl,UCF
76 Birmingham Bowl,TROY
Camellia Bowl,ARST
Lockheed Martin Armed Forces Bowl,AFA
Famous Idaho Potato Bowl,USU
68 Ventures Bowl,USA
SRS Distribution Las Vegas Bowl,UTAH
EasyPost Hawai'i Bowl,SJSU
Quick Lane Bowl,MINN
SERVPRO First Responder Bowl,TXST
Guaranteed Rate Bowl,KU
Military Bowl Presented by GoBowling.com,VT
Duke's Mayo Bowl,WVU
DIRECTV Holiday Bowl,LOU
TaxAct Texas Bowl,TA&M
Wasabi Fenway Bowl,SMU
Bad Boy Mowers Pinstripe Bowl,MIA
Pop-Tarts Bowl,KSU
Valero Alamo Bowl,ARIZ
TaxSlayer Gator Bowl,CLEM
Tony the Tiger Sun Bowl,ORST
AutoZone Liberty Bowl,ISU
Goodyear Cotton Bowl Classic,OSU
Chick-fil-A Peach Bowl,PSU
TransPerfect Music City Bowl,AUB
Capital One Orange Bowl,UGA
Barstool Sports Arizona Bowl,WYO
ReliaQuest Bowl,LSU
Cheez-It Citrus Bowl,TENN
Vrbo Fiesta Bowl,ORE
CFP Semifinal at the Rose Bowl Game Pres. by Prudential,ALA
CFP Semifinal at the Allstate Sugar Bowl,TEX
CFP National Championship Pres. by AT&T,TEX
Total Points Scored in Championship Game,60
,
